Journal,Title,Authors,Author_Information,Abstract,DOI,Misc
11. Br J Haematol. 2018 Feb;180(4):550-562. doi: 10.1111/bjh.15056. Epub 2017 Nov 30.,"A risk score including microdeletions improves relapse prediction for standard
and medium risk precursor B-cell acute lymphoblastic leukaemia in children.","Sutton R(1)(2), Venn NC(1), Law T(1), Boer JM(3)(4), Trahair TN(1)(2)(5), Ng
A(6), Den Boer ML(3)(7), Dissanayake A(1), Giles JE(1), Dalzell P(8), Mayoh C(1),
Barbaric D(5), Revesz T(9), Alvaro F(10), Pieters R(4)(7), Haber M(1)(2), Norris 
MD(1)(11), Schrappe M(12), Dalla Pozza L(6), Marshall GM(1)(2)(5).","Author information: 
(1)Children's Cancer Institute, Lowy Cancer Research Centre, UNSW, Sydney,
Australia.
(2)School of Women's and Children's Health, UNSW, Sydney, Australia.
(3)Department of Paediatric Oncology/Haematology, Erasmus Medical Centre, Sophia 
Children's Hospital, Rotterdam, The Netherlands.
(4)Princess Máxima Centre for Paediatric Oncology, Utrecht, The Netherlands.
(5)Kids Cancer Centre, Sydney Children's Hospital, Randwick, Australia.
(6)Cancer Centre for Children, The Children's Hospital at Westmead, Westmead,
Australia.
(7)Dutch Childhood Oncology Group, The Hague, The Netherlands.
(8)SEALS Genetics, NSW Health Pathology, Randwick, Australia.
(9)Women's and Children's Hospital, SA Pathology, University of Adelaide,
Adelaide, Australia.
(10)John Hunter Children's Hospital, Newcastle, Australia.
(11)UNSW Centre for Childhood Cancer Research, Kensington, Australia.
(12)Christian-Albrechts-University Kiel and University Medical Centre
Schleswig-Holstein, Kiel, Germany.","To prevent relapse, high risk paediatric acute lymphoblastic leukaemia (ALL) is
treated very intensively. However, most patients who eventually relapse have
standard or medium risk ALL with low minimal residual disease (MRD) levels. We
analysed recurrent microdeletions and other clinical prognostic factors in a
cohort of 475 uniformly treated non-high risk precursor B-cell ALL patients with 
the aim of better predicting relapse and refining risk stratification. Lower
relapse-free survival at 7 years (RFS) was associated with IKZF1 intragenic
deletions (P < 0·0001); P2RY8-CRLF2 gene fusion (P < 0·0004); Day 33 MRD>5 × 10-5
(P < 0·0001) and High National Cancer Institute (NCI) risk (P < 0·0001). We
created a predictive model based on a risk score (RS) for deletions, MRD and NCI 
risk, extending from an RS of 0 (RS0) for patients with no unfavourable factors
to RS2 +  for patients with 2 or 3 high risk factors. RS0, RS1, and RS2 +  groups
had RFS of 93%, 78% and 49%, respectively, and overall survival (OS) of 99%, 91% 
and 71%. The RS provided greater discrimination than MRD-based risk
stratification into standard (89% RFS, 96% OS) and medium risk groups (79% RFS,
91% OS). We conclude that this RS may enable better early therapeutic
stratification and thus improve cure rates for childhood ALL.",© 2017 John Wiley & Sons Ltd.,"DOI: 10.1111/bjh.15056 
PMID: 29194562  [Indexed for MEDLINE]"
12. Am J Clin Pathol. 2017 Nov 20;148(6):523-528. doi: 10.1093/ajcp/aqx111.,"Philadelphia Chromosome-like Mixed-Phenotype Acute Leukemia Demonstrating
P2RY8-CRLF2 Fusion and JAK1 Mutation.","Choi SM(1), Frederiksen JK(1), Ross CW(1), Bixby DL(2), Shao L(1).","Author information: 
(1)Departments of Pathology.
(2)Internal Medicine, University of Michigan, Ann Arbor.","Objectives: Philadelphia chromosome-like (Ph-like) genetic alterations define a
subset of B lymphoblastic leukemia/lymphoma (B-ALL), which represents a separate 
provisional entity in the World Health Organization 2016 updated classification. 
However, these alterations have not been described outside the context of B-ALL.
Methods: Cytogenomic array and molecular analysis identified a Ph-like signature 
in a mixed-phenotype acute leukemia (MPAL), B/myeloid, confirmed using
conventional immunophenotypic and cytochemical analysis.
Results: Flow cytometry identified a blast population demonstrating a B-cell
lineage and myeloperoxidase positivity. A P2RY8-CRLF2 fusion and JAK1 mutation
were detected, both of which are associated with Ph-like features.
Conclusions: To our knowledge, this is the first report of Ph-like MPAL, which
may represent a new diagnostic entity. We emphasize the need for refinement of
diagnostic criteria for MPALs and highlight an opportunity for expansion of
inclusion criteria in ongoing clinical trials studying the use of tyrosine kinase
inhibitor therapy to include cases of Ph-like MPAL.","© American Society for Clinical Pathology, 2017. All rights reserved. For
permissions, please e-mail: journals.permissions@oup.com","DOI: 10.1093/ajcp/aqx111 
PMID: 29140408  [Indexed for MEDLINE]"
"13. Cancer Lett. 2017 Nov 1;408:92-101. doi: 10.1016/j.canlet.2017.08.034. Epub 2017 
Sep 1.","Differential expression of MUC4, GPR110 and IL2RA defines two groups of
CRLF2-rearranged acute lymphoblastic leukemia patients with distinct secondary
lesions.","Sadras T(1), Heatley SL(1), Kok CH(1), Dang P(2), Galbraith KM(2), McClure BJ(2),
Muskovic W(3), Venn NC(3), Moore S(4), Osborn M(5), Revesz T(6), Moore AS(7),
Hughes TP(8), Yeung D(9), Sutton R(10), White DL(11).","Author information: 
(1)Cancer Theme, South Australian Health & Medical Research Institute, Adelaide, 
SA, Australia; Discipline of Medicine, University of Adelaide, Adelaide, SA,
Australia.
(2)Cancer Theme, South Australian Health & Medical Research Institute, Adelaide, 
SA, Australia.
(3)Molecular Diagnostics Program, Children's Cancer Institute, Lowy Cancer
Research Centre, UNSW Sydney, NSW, Australia.
(4)Department of Genetic Pathology, SA Pathology, Adelaide, SA, Australia.
(5)SA Pathology at Women's & Children's Hospital, Adelaide, SA, Australia;
Australian Genomic Health Alliance, Adelaide, SA, Australia.
(6)SA Pathology at Women's & Children's Hospital, Adelaide, SA, Australia.
(7)The University of Queensland Diamantina Institute, UQ Child Health Research
Centre, The University of Queensland, Brisbane, QLD, Australia; Oncology Services
Group, Children's Health Queensland Hospital and Health Service, Brisbane, QLD,
Australia.
(8)Cancer Theme, South Australian Health & Medical Research Institute, Adelaide, 
SA, Australia; Discipline of Medicine, University of Adelaide, Adelaide, SA,
Australia; Department of Haematology, SA Pathology, Adelaide, SA, Australia.
(9)Department of Haematology, SA Pathology, Adelaide, SA, Australia.
(10)Molecular Diagnostics Program, Children's Cancer Institute, Lowy Cancer
Research Centre, UNSW Sydney, NSW, Australia; Australian Genomic Health Alliance,
Adelaide, SA, Australia; School of Women's and Children's Health, Medicine,
University of NSW, Sydney, NSW, Australia.
(11)Cancer Theme, South Australian Health & Medical Research Institute, Adelaide,
SA, Australia; Discipline of Medicine, University of Adelaide, Adelaide, SA,
Australia; Australian Genomic Health Alliance, Adelaide, SA, Australia.
Electronic address: deborah.white@sahmri.com.","CRLF2-rearrangements (CRLF2-r) occur frequently in Ph-like B-ALL, a high-risk ALL
sub-type characterized by a signaling profile similar to Ph + ALL, however
accumulating evidence indicates genetic heterogeneity within CRLF2-r ALL. We
performed thorough genomic characterization of 35 CRLF2-r cases (P2RY8-CRLF2
n = 18; IGH-CRLF2 n = 17). Activating JAK2 mutations were present in 34% of
patients, and a CRLF2-F232C mutation was identified in an additional 17%. IKZF1
deletions were detected in 63% of cases. The majority of patients (26/35)
classified as Ph-like, and these were characterized by significantly higher
levels of MUC4, GPR110 and IL2RA/CD25. In addition, Ph-like CRLF2-r samples were 
significantly enriched for IKZF1 deletions, JAK2/CRLF2 mutations and increased
expression of JAK/STAT target genes (CISH, SOCS1), suggesting that
mutation-driven CRLF2/JAK2 activation is more frequent in this sub-group. Less is
known about the genomics of CRLF2-r cases lacking JAK2-pathway mutations, but
KRAS/NRAS mutations were identified in 4/9 non-Ph-like samples. This work
highlights the heterogeneity of secondary lesions which may arise and influence
intracellular-pathway activation in CRLF2-r patients, and importantly presents
distinct therapeutic targets within a group of patients harboring identical
primary translocations, for whom efficient directed therapies are currently
lacking.",Copyright © 2017 Elsevier B.V. All rights reserved.,"DOI: 10.1016/j.canlet.2017.08.034 
PMID: 28866095  [Indexed for MEDLINE]"
"14. Genes Chromosomes Cancer. 2017 Oct;56(10):730-749. doi: 10.1002/gcc.22477. Epub
2017 Jul 1.","Copy number alterations determined by single nucleotide polymorphism array
testing in the clinical laboratory are indicative of gene fusions in pediatric
cancer patients.","Busse TM(1), Roth JJ(2), Wilmoth D(3), Wainwright L(3), Tooke L(3), Biegel
JA(1)(4).","Author information: 
(1)Department of Pathology and Laboratory Medicine Children's Hospital of Los
Angeles, Center for Personalized Medicine, Los Angeles, California.
(2)Department of Pathology and Laboratory Medicine, Hospital of the University of
Pennsylvania, Philadelphia, Pennsylvania.
(3)Department of Pathology and Laboratory Medicine, The Children's Hospital of
Philadelphia, Philadelphia, Pennsylvania.
(4)Department of Pathology, USC Keck School of Medicine, Los Angeles, California.","Gene fusions resulting from structural rearrangements are an established
mechanism of tumorigenesis in pediatric cancer. In this clinical cohort, 1,350
single nucleotide polymorphism (SNP)-based chromosomal microarrays from 1,211
pediatric cancer patients were evaluated for copy number alterations (CNAs)
associated with gene fusions. Karyotype or fluorescence in situ hybridization
studies were performed in 42% of the patients. Ten percent of the bone marrow or 
solid tumor specimens had SNP array-associated CNAs suggestive of a gene fusion. 
Alterations involving ETV6, ABL1-NUP214, EBF1-PDGFRB, KMT2A(MLL), LMO2-RAG,
MYH11-CBFB, NSD1-NUP98, PBX1, STIL-TAL1, ZNF384-TCF3, P2RY8-CRLF2, and
RUNX1T1-RUNX1 fusions were detected in the bone marrow samples. The most common
alteration among the low-grade gliomas was a 7q34 tandem duplication resulting in
a KIAA1549-BRAF fusion. Additional fusions identified in the pediatric brain
tumors included FAM131B-BRAF and RAF1-QKI. COL1A1-PDGFB, CRTC1-MAML2, EWSR1,
HEY1, PAX3- and PAX7-FOXO1, and PLAG1 fusions were determined in a variety of
solid tumors and a novel potential gene fusion, FGFR1-USP6, was detected in an
aneurysmal bone cyst. The identification of these gene fusions was instrumental
in tumor diagnosis. In contrast to hematologic and solid tumors in adults that
are predominantly driven by mutations, the majority of hematologic and solid
tumors in children are characterized by CNAs and gene fusions. Chromosomal
microarray analysis is therefore a robust platform to identify diagnostic and
prognostic markers in the clinical setting.","© 2017 Wiley Periodicals, Inc.","DOI: 10.1002/gcc.22477 
PMID: 28597942  [Indexed for MEDLINE]"
"15. Blood. 2017 Jun 22;129(25):3352-3361. doi: 10.1182/blood-2016-12-758979. Epub
2017 Apr 13.","Targetable kinase gene fusions in high-risk B-ALL: a study from the Children's
Oncology Group.","Reshmi SC(1)(2), Harvey RC(3), Roberts KG(4), Stonerock E(1), Smith A(5), Jenkins
H(1), Chen IM(3), Valentine M(6), Liu Y(7), Li Y(7), Shao Y(4), Easton J(7),
Payne-Turner D(4), Gu Z(4), Tran TH(8), Nguyen JV(8), Devidas M(9), Dai Y(9),
Heerema NA(2), Carroll AJ 3rd(10), Raetz EA(11), Borowitz MJ(12), Wood BL(13),
Angiolillo AL(14), Burke MJ(15), Salzer WL(16), Zweidler-McKay PA(17), Rabin
KR(18), Carroll WL(19), Zhang J(7), Loh ML(8), Mullighan CG(4), Willman CL(3),
Gastier-Foster JM(1)(2)(20), Hunger SP(21).","Author information: 
(1)Institute for Genomic Medicine, Nationwide Children's Hospital, Columbus, OH.
(2)Department of Pathology, The Ohio State University College of Medicine,
Columbus, OH.
(3)University of New Mexico Cancer Center, Albuquerque, NM.
(4)Department of Pathology, St. Jude Children's Research Hospital, Memphis, TN.
(5)Comprehensive Cancer Center, The Ohio State University College of Medicine,
Columbus, OH.
(6)Department of Cytogenetics and.
(7)Department of Computational Biology, St. Jude Children's Research Hospital,
Memphis, TN.
(8)Department of Pediatrics, UCSF Benioff Children's Hospital and Helen Diller
Family Comprehensive Cancer Center, University of California, San Francisco, San 
Francisco, CA.
(9)Department of Biostatistics, University of Florida, Gainesville, FL.
(10)Department of Genetics, University of Alabama at Birmingham, Birmingham, AL.
(11)Department of Pediatrics, University of Utah, Salt Lake City, UT.
(12)Department of Pathology, Johns Hopkins University, Baltimore, MD.
(13)Seattle Children's Hospital, Seattle, WA.
(14)Children's National Medical Center, Washington, DC.
(15)Department of Pediatrics, Medical College of Wisconsin, Milwaukee, WI.
(16)US Army Medical Research and Materiel Command, Fort Detrick, MD.
(17)Department of Pediatrics, MD Anderson Cancer Center, Houston, TX.
(18)Department of Pediatrics, Baylor College of Medicine, Houston, TX.
(19)Perlmutter Cancer Center, NYU Langone Medical Center, New York, NY.
(20)Department of Pediatrics, The Ohio State University College of Medicine,
Columbus, OH; and.
(21)Department of Pediatrics, Children's Hospital of Philadelphia and Perelman
School of Medicine, University of Pennsylvania, Philadelphia, PA.","Comment in
    Blood. 2017 Jun 22;129(25):3280-3282.","Philadelphia chromosome-like (Ph-like) acute lymphoblastic leukemia (ALL) is a
high-risk subtype characterized by genomic alterations that activate cytokine
receptor and kinase signaling. We examined the frequency and spectrum of
targetable genetic lesions in a retrospective cohort of 1389 consecutively
diagnosed patients with childhood B-lineage ALL with high-risk clinical features 
and/or elevated minimal residual disease at the end of remission induction
therapy. The Ph-like gene expression profile was identified in 341 of 1389
patients, 57 of whom were excluded from additional analyses because of the
presence of BCR-ABL1 (n = 46) or ETV6-RUNX1 (n = 11). Among the remaining 284
patients (20.4%), overexpression and rearrangement of CRLF2 (IGH-CRLF2 or
P2RY8-CRLF2) were identified in 124 (43.7%), with concomitant genomic alterations
activating the JAK-STAT pathway (JAK1, JAK2, IL7R) identified in 63 patients
(50.8% of those with CRLF2 rearrangement). Among the remaining patients, using
reverse transcriptase polymerase chain reaction or transcriptome sequencing, we
identified targetable ABL-class fusions (ABL1, ABL2, CSF1R, and PDGFRB) in 14.1%,
EPOR rearrangements or JAK2 fusions in 8.8%, alterations activating other
JAK-STAT signaling genes (IL7R, SH2B3, JAK1) in 6.3% or other kinases (FLT3,
NTRK3, LYN) in 4.6%, and mutations involving the Ras pathway (KRAS, NRAS, NF1,
PTPN11) in 6% of those with Ph-like ALL. We identified 8 new rearrangement
partners for 4 kinase genes previously reported to be rearranged in Ph-like ALL. 
The current findings provide support for the precision-medicine testing and
treatment approach for Ph-like ALL implemented in Children's Oncology Group ALL
trials.","DOI: 10.1182/blood-2016-12-758979 
PMCID: PMC5482101
PMID: 28408464  [Indexed for MEDLINE]"
"16. Genes Chromosomes Cancer. 2017 Aug;56(8):608-616. doi: 10.1002/gcc.22464. Epub
2017 May 5.","ETV6/RUNX1-like acute lymphoblastic leukemia: A novel B-cell precursor leukemia
subtype associated with the CD27/CD44 immunophenotype.","Zaliova M(1)(2)(3), Kotrova M(1)(2)(3), Bresolin S(4), Stuchly J(1)(2), Stary
J(2)(3), Hrusak O(1)(2)(3), Te Kronnie G(4), Trka J(1)(2)(3), Zuna J(1)(2)(3),
Vaskova M(1)(2).","Author information: 
(1)CLIP-Childhood Leukaemia Investigation Prague, Czech Republic.
(2)Department of Paediatric Haematology and Oncology, Second Faculty of Medicine,
Charles University, Prague, Czech Republic.
(3)University Hospital Motol, Prague, Czech Republic.
(4)Department of Women's and Children's Health, University of Padova, Italy.","We have shown previously that ETV6/RUNX1-positive acute lymphoblastic leukemia
(ALL) is distinguishable from other ALL subtypes by CD27pos /CD44low-neg
immunophenotype. During diagnostic immunophenotyping of 573 childhood B-cell
precursor ALL (BCP-ALL), we identified eight cases with this immunophenotype
among ""B-other ALL"" (BCP-ALL cases negative for routinely tested
chromosomal/genetic aberrations). We aimed to elucidate whether these cases
belong to the recently described ETV6/RUNX1-like ALL defined by the
ETV6/RUNX1-specific gene expression profile (GEP), harboring concurrent ETV6 and 
IKZF1 lesions. We performed comprehensive genomic analysis using single
nucleotide polymorphism arrays, whole exome and transcriptome sequencing and GEP 
on microarrays. In unsupervised hierarchical clustering based on GEP, five out of
seven analyzed CD27pos /CD44low-neg B-other cases clustered with
ETV6/RUNX1-positive ALL and were thus classified as ETV6/RUNX1-like ALL. The two 
cases clustering outside ETV6/RUNX1-positive ALL harbored a P2RY8/CRLF2 fusion
with activating JAK2 mutations and a TCF3/ZNF384 fusion, respectively, assigning 
them to other ALL subtypes. All five ETV6/RUNX1-like cases harbored ETV6
deletions; uniform intragenic ARPP21 deletions and various IKZF1 lesions were
each found in three ETV6/RUNX1-like cases. The frequency of ETV6 and ARPP21
deletions was significantly higher in ETV6/RUNX1-like ALL compared with a
reference cohort of 42 B-other ALL. In conclusion, we show that ETV6/RUNX1-like
ALL is associated with CD27pos /CD44low-neg immunophenotype and identify ARPP21
deletions to contribute to its specific genomic profile enriched for ETV6 and
IKZF1 lesions. In conjunction with previously published data, our study
identifies the ETV6 lesion as the only common genetic aberration and thus the
most likely key driver of ETV6/RUNX1-like ALL.","© 2017 Wiley Periodicals, Inc.","DOI: 10.1002/gcc.22464 
PMID: 28395118  [Indexed for MEDLINE]"
17. Pediatr Blood Cancer. 2017 Oct;64(10). doi: 10.1002/pbc.26539. Epub 2017 Apr 1.,"Molecular characterization of acute lymphoblastic leukemia with high CRLF2 gene
expression in childhood.","Schmäh J(1), Fedders B(1), Panzer-Grümayer R(2), Fischer S(2), Zimmermann M(3),
Dagdan E(3), Bens S(4)(5), Schewe D(1), Moericke A(1), Alten J(1), Bleckmann
K(1), Siebert R(4)(5), Schrappe M(1), Stanulla M(3), Cario G(1).","Author information: 
(1)Department of Pediatrics, University Medical Center Schleswig-Holstein, Kiel, 
Germany.
(2)Children's Cancer Research Institute, St. Anna Kinderkrebsforschung, Vienna,
Austria.
(3)Department of Pediatric Hematology and Oncology, Hannover Medical School,
Hannover, Germany.
(4)Institute of Human Genetics, Christian-Albrechts-University Kiel & University 
Medical Center Schleswig-Holstein, Kiel, Germany.
(5)Institute of Human Genetics, University of Ulm, Ulm, Germany.","BACKGROUND: A high-level expression of the CRLF2 gene is frequent in precursor
B-cell acute lymphoblastic leukemia (pB-ALL) and can be caused by different
genetic aberrations. The presence of the most frequent alteration, the
P2RY8/CRLF2 fusion, was shown to be associated with a high relapse incidence in
children treated according to ALL-Berlin-Frankfurt-Münster (BFM) protocols, which
is poorly understood. Moreover, the frequency of other alterations has not been
systematically analyzed yet.
PROCEDURE: CRLF2 mRNA expression and potential genetic aberrations causing a
CRLF2 high expression were prospectively assessed in 1,105 patients treated
according to the Associazione Italiana Ematologia Oncologia Pediatrica
(AIEOP)-BFM ALL 2009 protocol. Additionally, we determined copy number
alterations in selected B-cell differentiation genes for all CRLF2
high-expressing pB-ALL cases, as well as JAK2 and CRLF2 mutations.
RESULTS: A CRLF2 high expression was detected in 26/178 (15%) T-cell acute
lymphoblastic leukemia (T-ALL) cases, 21 of them (81%) had been stratified as
high-risk patients by treatment response. In pB-ALL, a CRLF2 high expression was 
determined in 91/927 (10%) cases; the P2RY8/CRLF2 rearrangement in 44/91 (48%) of
them, supernumerary copies of CRLF2 in 18/91 (20%), and, notably, the IGH/CRLF2
translocation was detected in 16/91 (18%). Remarkably, 7 of 16 (44%) patients
with IGH/CRLF2 translocation had already relapsed. P2RY8/CRLF2- and
IGH/CRLF2-positive samples (70 and 94%, respectively) were characterized by a
high frequency of additional deletions in B-cell differentiation genes such as
IKZF1 or PAX5.
CONCLUSION: Our data suggest that this high frequency of genetic aberrations in
the context of a high CRLF2 expression could contribute to the high risk of
relapse in P2RY8/CRLF2- and IGH/CRLF2-positive ALL.","© 2017 Wiley Periodicals, Inc.","DOI: 10.1002/pbc.26539 
PMID: 28371317  [Indexed for MEDLINE]"
"18. Genes Chromosomes Cancer. 2017 May;56(5):363-372. doi: 10.1002/gcc.22439. Epub
2017 Jan 18.","Characterisation of the genomic landscape of CRLF2-rearranged acute lymphoblastic
leukemia.","Russell LJ(1), Jones L(1), Enshaei A(1), Tonin S(1), Ryan SL(1), Eswaran J(1),
Nakjang S(2), Papaemmanuil E(3)(4), Tubio JM(4), Fielding AK(5), Vora A(6),
Campbell PJ(4), Moorman AV(1), Harrison CJ(1).","Author information: 
(1)Leukaemia Research Cytogenetics Group, Northern Institute for Cancer Research,
Newcastle University, Newcastle-upon-Tyne, UK.
(2)Bioinformatics Support Unit, Newcastle University, Newcastle-upon-Tyne, UK.
(3)Department of Epidemiology-Biostatistics, Memorial Sloan Kettering Cancer
Center, USA.
(4)Cancer Genome Project, Wellcome Trust Sanger Institute, Hinxton, UK.
(5)Research Department of Haemaoloty, UCL Cancer Institute, London, UK.
(6)Department of Haematology, Sheffield Children's Hospital, Sheffield, UK.","Deregulated expression of the type I cytokine receptor, CRLF2, is observed in
5-15% of precursor B-cell acute lymphoblastic leukaemia (B-ALL). We aimed to
determine the clinical and genetic landscape of those with IGH-CRLF2 or
P2RY8-CRLF2 (CRLF2-r) using multiple genomic approaches. Clinical and demographic
features of CRLF2-r patients were characteristic of B-ALL. Patients with
IGH-CRLF2 were older (14 y vs. 4 y, P < .001), while the incidence of CRLF2-r
among Down syndrome patients was high (50/161, 31%). CRLF2-r co-occurred with
primary chromosomal rearrangements but the majority (111/161, 69%) had B-other
ALL. Copy number alteration (CNA) profiles were similar to B-other ALL, although 
CRLF2-r patients harbored higher frequencies of IKZF1 (60/138, 43% vs. 77/1351,
24%) and BTG1 deletions (20/138, 15% vs. 3/1351, 1%). There were significant
differences in CNA profiles between IGH-CRLF2 and P2RY8-CRLF2 patients: IKZF1
(25/35, 71% vs. 36/108, 33%, P < .001), BTG1 (11/35, 31% vs. 10/108, 9%, P
=.004), and ADD3 deletions (9/19, 47% vs. 5/38, 13%, P =.008). A novel gene
fusion, USP9X-DDX3X, was discovered in 10/54 (19%) of patients. Pathway analysis 
of the mutational profile revealed novel involvement for focal adhesion. Although
the functional relevance of many of these abnormalities are unknown, they likely 
activate additional pathways, which may represent novel therapeutic targets.","© 2017 The Authors Genes, Chromosomes and Cancer Published byWiley Periodicals,
Inc.","DOI: 10.1002/gcc.22439 
PMCID: PMC5396319
PMID: 28033648  [Indexed for MEDLINE]"
"19. PLoS Med. 2016 Dec 13;13(12):e1002197. doi: 10.1371/journal.pmed.1002197.
eCollection 2016 Dec.","Histological Transformation and Progression in Follicular Lymphoma: A Clonal
Evolution Study.","Kridel R(1), Chan FC(1)(2), Mottok A(1)(3), Boyle M(1), Farinha P(1), Tan K(1),
Meissner B(1), Bashashati A(4), McPherson A(4), Roth A(2)(4), Shumansky K(4), Yap
D(4), Ben-Neriah S(1), Rosner J(4), Smith MA(2)(4), Nielsen C(4), Giné E(1),
Telenius A(1), Ennishi D(1), Mungall A(5), Moore R(5), Morin RD(5)(6), Johnson
NA(7), Sehn LH(1), Tousseyn T(8)(9), Dogan A(10)(11), Connors JM(1), Scott DW(1),
Steidl C(1)(3), Marra MA(5), Gascoyne RD(1)(3), Shah SP(3)(4).","Author information: 
(1)Centre for Lymphoid Cancer, BC Cancer Agency, Vancouver, British Columbia,
Canada.
(2)Bioinformatics Graduate Program, University of British Columbia, Vancouver,
British Columbia, Canada.
(3)Department of Pathology and Laboratory Medicine, University of British
Columbia, Vancouver, British Columbia, Canada.
(4)Department of Molecular Oncology, BC Cancer Agency, Vancouver, British
Columbia, Canada.
(5)Michael Smith Genome Sciences Centre, BC Cancer Agency, Vancouver, British
Columbia, Canada.
(6)Department of Molecular Biology and Biochemistry, Simon Fraser University,
Burnaby, British Columbia, Canada.
(7)Jewish General Hospital, Montreal, Quebec, Canada.
(8)Translational Cell and Tissue Research Lab, Department for Imaging and
Pathology, University of Leuven (KU Leuven), Leuven, Belgium.
(9)Department of Pathology, Universitaire Ziekenhuizen Leuven (UZ Leuven),
Leuven, Belgium.
(10)Department of Laboratory and Pathology, Mayo Clinic, Rochester, Minnesota,
United States of America.
(11)Departments of Pathology and Laboratory Medicine, Memorial Sloan Kettering
Cancer Center, New York, New York, United States of America.","BACKGROUND: Follicular lymphoma (FL) is an indolent, yet incurable B cell
malignancy. A subset of patients experience an increased mortality rate driven by
two distinct clinical end points: histological transformation and early
progression after immunochemotherapy. The nature of tumor clonal dynamics leading
to these clinical end points is poorly understood, and previously determined
genetic alterations do not explain the majority of transformed cases or
accurately predict early progressive disease. We contend that detailed knowledge 
of the expansion patterns of specific cell populations plus their associated
mutations would provide insight into therapeutic strategies and disease biology
over the time course of FL clinical histories.
METHODS AND FINDINGS: Using a combination of whole genome sequencing, targeted
deep sequencing, and digital droplet PCR on matched diagnostic and relapse
specimens, we deciphered the constituent clonal populations in 15 transformation 
cases and 6 progression cases, and measured the change in clonal population
abundance over time. We observed widely divergent patterns of clonal dynamics in 
transformed cases relative to progressed cases. Transformation specimens were
generally composed of clones that were rare or absent in diagnostic specimens,
consistent with dramatic clonal expansions that came to dominate the
transformation specimens. This pattern was independent of time to transformation 
and treatment modality. By contrast, early progression specimens were composed of
clones that were already present in the diagnostic specimens and exhibited only
moderate clonal dynamics, even in the presence of immunochemotherapy. Analysis of
somatic mutations impacting 94 genes was undertaken in an extension cohort
consisting of 395 samples from 277 patients in order to decipher disrupted
biology in the two clinical end points. We found 12 genes that were more commonly
mutated in transformed samples than in the preceding FL tumors, including TP53,
B2M, CCND3, GNA13, S1PR2, and P2RY8. Moreover, ten genes were more commonly
mutated in diagnostic specimens of patients with early progression, including
TP53, BTG1, MKI67, and XBP1.
CONCLUSIONS: Our results illuminate contrasting modes of evolution shaping the
clinical histories of transformation and progression. They have implications for 
interpretation of evolutionary dynamics in the context of treatment-induced
selective pressures, and indicate that transformation and progression will
require different clinical management strategies.","DOI: 10.1371/journal.pmed.1002197 
PMCID: PMC5154502
PMID: 27959929  [Indexed for MEDLINE]","Conflict of interest statement: I have read the journal's policy and the authors 
of this manuscript have the following competing interests: SPS is a founder and
shareholder of Contextual Genomics Inc., developer of clinical genomic tests for 
cancer."
20. Leukemia. 2017 Jul;31(7):1491-1501. doi: 10.1038/leu.2016.365. Epub 2016 Nov 30.,"Genomic and transcriptional landscape of P2RY8-CRLF2-positive childhood acute
lymphoblastic leukemia.","Vesely C(1), Frech C(1), Eckert C(2), Cario G(3), Mecklenbräuker A(1), Zur Stadt 
U(4), Nebral K(1), Kraler F(1), Fischer S(1), Attarbaschi A(5), Schuster M(6),
Bock C(6), Cavé H(7), von Stackelberg A(2), Schrappe M(3), Horstmann MA(4), Mann 
G(5), Haas OA(1)(5), Panzer-Grümayer R(1).","Author information: 
(1)Children's Cancer Research Institute (CCRI), Leukemia Biology Group, Vienna,
Austria.
(2)Department of Pediatric Oncology/Hematology, Charité Universitätsmedizin
Berlin, Campus Virchow Klinikum, Berlin, Germany.
(3)Department of Pediatrics, Medical University of Schleswig Holstein, Kiel,
Germany.
(4)Clinic of Pediatric Hematology and Oncology, University Medical Center
Hamburg-Eppendorf, Hamburg, Germany.
(5)St Anna Kinderspital, Medical University Vienna, Vienna, Austria.
(6)Research Center for Molecular Medicine (CeMM), Vienna, Austria.
(7)UFR de Médecine Paris-Diderot, INSERM UMR_S1131-Institute Universitaire
d'hématologie, Département de Génétique-UF de Génétique Moléculaire, Hôpital
Robert Debré, Paris, France.","Children with P2RY8-CRLF2-positive acute lymphoblastic leukemia have an increased
relapse risk. Their mutational and transcriptional landscape, as well as the
respective patterns at relapse remain largely elusive. We, therefore, performed
an integrated analysis of whole-exome and RNA sequencing in 41 major clone
fusion-positive cases including 19 matched diagnosis/relapse pairs. We detected a
variety of frequently subclonal and highly instable JAK/STAT but also RTK/Ras
pathway-activating mutations in 76% of cases at diagnosis and virtually all
relapses. Unlike P2RY8-CRLF2 that was lost in 32% of relapses, all other genomic 
alterations affecting lymphoid development (58%) and cell cycle (39%) remained
stable. Only IKZF1 alterations predominated in relapsing cases (P=0.001) and
increased from initially 36 to 58% in matched cases. IKZF1's critical role is
further corroborated by its specific transcriptional signature comprising stem
cell features with signs of impaired lymphoid differentiation, enhanced focal
adhesion, activated hypoxia pathway, deregulated cell cycle and increased drug
resistance. Our findings support the notion that P2RY8-CRLF2 is dispensable for
relapse development and instead highlight the prominent rank of IKZF1 for relapse
development by mediating self-renewal and homing to the bone marrow niche.
Consequently, reverting aberrant IKAROS signaling or its disparate programs
emerges as an attractive potential treatment option in these leukemias.","DOI: 10.1038/leu.2016.365 
PMCID: PMC5508072
PMID: 27899802  [Indexed for MEDLINE]",
